drug_name,api_name,api_cascade_count,api_cascade_drugs,api_cascade_on_concession,api_cascade_conc_drugs,api_concentration_risk,api_primary_source,api_manufacturer_count,api_india_china_pct,api_india_dependency,api_us_shortage_count,api_us_shortage_active
Olanzapine 2.5mg tablets,olanzapine,5,Olanzapine 15mg tablets|Olanzapine 5mg tablets|Olanzapine 20mg tablets|Olanzapine 10mg tablets|Olanzapine 7.5mg tablets,5,Olanzapine 15mg tablets|Olanzapine 5mg tablets|Olanzapine 20mg tablets|Olanzapine 10mg tablets|Olanzapine 7.5mg tablets,HIGH,India,3,85,1,0,0
Esomeprazole 40mg gastro-resistant capsules,esomeprazole,4,Esomeprazole 20mg gastro-resistant capsules|Esomeprazole 20mg gastro-resistant capsules|Esomeprazole 20mg gastro-resistant tablets|Esomeprazole 40mg gastro-resistant tablets,2,Esomeprazole 20mg gastro-resistant capsules|Esomeprazole 20mg gastro-resistant capsules,HIGH,India,4,75,1,0,0
Propranolol 40mg tablets,propranolol,3,Propranolol 80mg tablets|Propranolol 160mg modified-release capsules|Propranolol 10mg tablets,2,Propranolol 80mg tablets|Propranolol 160mg modified-release capsules,HIGH,India,3,80,1,0,0
Propranolol 80mg tablets,propranolol,3,Propranolol 40mg tablets|Propranolol 160mg modified-release capsules|Propranolol 10mg tablets,2,Propranolol 40mg tablets|Propranolol 160mg modified-release capsules,HIGH,India,3,80,1,0,0
Co-codamol 30mg/500mg tablets,paracetamol,20,Paracetamol 500mg effervescent tablets|Co-codamol 30mg/500mg effervescent tablets|Co-codamol 30mg/500mg effervescent tablets|Paracetamol 250mg/5ml oral suspension sugar free|Paracetamol 250mg/5ml oral suspension,1,Paracetamol 500mg effervescent tablets,LOW,Europe,12,30,0,0,0
Co-codamol 30mg/500mg tablets,paracetamol,20,Paracetamol 500mg effervescent tablets|Co-codamol 30mg/500mg effervescent tablets|Co-codamol 30mg/500mg effervescent tablets|Paracetamol 250mg/5ml oral suspension sugar free|Paracetamol 250mg/5ml oral suspension,1,Paracetamol 500mg effervescent tablets,LOW,Europe,12,30,0,0,0
Hydroxocobalamin 1mg/1ml solution for injection ampoules,hydroxocobalamin,0,,0,,HIGH,Europe,2,20,0,0,0
Paracetamol 500mg effervescent tablets,paracetamol,21,Co-codamol 30mg/500mg tablets|Co-codamol 30mg/500mg tablets|Co-codamol 30mg/500mg effervescent tablets|Co-codamol 30mg/500mg effervescent tablets|Paracetamol 250mg/5ml oral suspension sugar free,2,Co-codamol 30mg/500mg tablets|Co-codamol 30mg/500mg tablets,LOW,Europe,12,30,0,0,0
Ibandronic acid 150mg tablets,ibandronic acid,1,Ibandronic acid 50mg tablets,1,Ibandronic acid 50mg tablets,HIGH,India,3,85,1,0,0
Oxybutynin 5mg tablets,oxybutynin,3,Oxybutynin 2.5mg tablets|Oxybutynin 5mg modified-release tablets|Oxybutynin 10mg modified-release tablets,1,Oxybutynin 2.5mg tablets,UNKNOWN,Unknown,-1,-1,-1,0,0
Oxybutynin 2.5mg tablets,oxybutynin,3,Oxybutynin 5mg tablets|Oxybutynin 5mg modified-release tablets|Oxybutynin 10mg modified-release tablets,1,Oxybutynin 5mg tablets,UNKNOWN,Unknown,-1,-1,-1,0,0
Trihexyphenidyl 2mg tablets,trihexyphenidyl,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Trimethoprim 100mg tablets,trimethoprim,3,Trimethoprim 50mg/5ml oral suspension sugar free|Trimethoprim 200mg tablets|Trimethoprim 200mg tablets,1,Trimethoprim 50mg/5ml oral suspension sugar free,UNKNOWN,Unknown,-1,-1,-1,0,0
Alfuzosin 2.5mg tablets,alfuzosin,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Bumetanide 1mg tablets,bumetanide,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Nizatidine 150mg capsules,nizatidine,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Clarithromycin 250mg/5ml oral suspension,clarithromycin,3,Clarithromycin 125mg/5ml oral suspension|Clarithromycin 500mg tablets|Clarithromycin 250mg tablets,1,Clarithromycin 125mg/5ml oral suspension,UNKNOWN,Unknown,-1,-1,-1,0,0
Trimethoprim 50mg/5ml oral suspension sugar free,trimethoprim,3,Trimethoprim 100mg tablets|Trimethoprim 200mg tablets|Trimethoprim 200mg tablets,1,Trimethoprim 100mg tablets,UNKNOWN,Unknown,-1,-1,-1,0,0
Febuxostat 80mg tablets,febuxostat,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Clarithromycin 125mg/5ml oral suspension,clarithromycin,3,Clarithromycin 250mg/5ml oral suspension|Clarithromycin 500mg tablets|Clarithromycin 250mg tablets,1,Clarithromycin 250mg/5ml oral suspension,UNKNOWN,Unknown,-1,-1,-1,0,0
Naftidrofuryl 100mg capsules,naftidrofuryl,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Sodium bicarbonate 500mg capsules,sodium,21,Diclofenac sodium 50mg gastro-resistant tablets|Levothyroxine sodium 12.5microgram tablets|Sodium valproate 200mg/5ml oral solution sugar free|Sodium chloride 0.9% nebuliser liquid 2.5ml unit dose ampoules|Sodium valproate 200mg gastro-resistant tablets,1,Diclofenac sodium 50mg gastro-resistant tablets,UNKNOWN,Unknown,-1,-1,-1,0,0
Amiodarone 200mg tablets,amiodarone,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Lofepramine 70mg tablets,lofepramine,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Dutasteride 500microgram capsules,dutasteride,1,Tamsulosin 400microgram / Dutasteride 500microgram capsules,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Nefopam 30mg tablets,nefopam,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Bimatoprost 300micrograms/ml / Timolol 5mg/ml eye drops 0.4ml unit dose preservative free,bimatoprost,3,Bimatoprost 300micrograms/ml / Timolol 5mg/ml eye drops|Bimatoprost 100micrograms/ml eye drops|Bimatoprost 300micrograms/ml eye drops 0.4ml unit dose preservative free,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Ibandronic acid 50mg tablets,ibandronic acid,1,Ibandronic acid 150mg tablets,1,Ibandronic acid 150mg tablets,HIGH,India,3,85,1,0,0
Ciprofloxacin 500mg tablets,ciprofloxacin,1,Ciprofloxacin 250mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Progesterone micronised 100mg capsules,progesterone,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Oxytetracycline 250mg tablets,oxytetracycline,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Mometasone 0.1% cream,mometasone,3,Mometasone 0.1% ointment|Mometasone 0.1% ointment|Mometasone 50micrograms/dose nasal spray,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Mometasone 0.1% cream,mometasone,3,Mometasone 0.1% ointment|Mometasone 0.1% ointment|Mometasone 50micrograms/dose nasal spray,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Latanoprost 50micrograms/ml eye drops,latanoprost,1,Latanoprost 50micrograms/ml / Timolol 5mg/ml eye drops,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Valaciclovir 500mg tablets,valaciclovir,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Betamethasone 500microgram soluble tablets sugar free,betamethasone,6,Calcipotriol 0.005% / Betamethasone dipropionate 0.05% ointment|Betamethasone valerate 0.1% cream|Betamethasone valerate 0.1% cream|Betamethasone valerate 0.1% ointment|Calcipotriol 0.005% / Betamethasone dipropionate 0.05% gel,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Oxycodone 5mg/5ml oral solution sugar free,oxycodone,1,Oxycodone 10mg/1ml solution for injection ampoules,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Itraconazole 100mg capsules,itraconazole,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Terbinafine 250mg tablets,terbinafine,2,Terbinafine 1% cream|Terbinafine 1% cream,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Procyclidine 5mg tablets,procyclidine,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Irbesartan 150mg tablets,irbesartan,3,Irbesartan 300mg tablets|Irbesartan 75mg tablets|Irbesartan 300mg / Hydrochlorothiazide 12.5mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Lansoprazole 30mg orodispersible tablets,lansoprazole,3,Lansoprazole 15mg orodispersible tablets|Lansoprazole 15mg gastro-resistant capsules|Lansoprazole 30mg gastro-resistant capsules,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Risperidone 500microgram tablets,risperidone,5,Risperidone 1mg/ml oral solution sugar free|Risperidone 2mg tablets|Risperidone 4mg tablets|Risperidone 1mg tablets|Risperidone 3mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Tolterodine 1mg tablets,tolterodine,1,Tolterodine 2mg tablets,1,Tolterodine 2mg tablets,UNKNOWN,Unknown,-1,-1,-1,0,0
Sulpiride 200mg tablets,sulpiride,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Clotrimazole 500mg pessaries,clotrimazole,2,Clotrimazole 1% cream|Clotrimazole 1% cream,2,Clotrimazole 1% cream|Clotrimazole 1% cream,UNKNOWN,Unknown,-1,-1,-1,0,0
Pyridostigmine bromide 60mg tablets,pyridostigmine,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Sulfasalazine 500mg tablets,sulfasalazine,1,Sulfasalazine 500mg gastro-resistant tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Phenoxymethylpenicillin 250mg tablets,phenoxymethylpenicillin,4,Phenoxymethylpenicillin 125mg/5ml oral solution|Phenoxymethylpenicillin 250mg/5ml oral solution|Phenoxymethylpenicillin 125mg/5ml oral solution sugar free|Phenoxymethylpenicillin 250mg/5ml oral solution sugar free,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Tolterodine 2mg tablets,tolterodine,1,Tolterodine 1mg tablets,1,Tolterodine 1mg tablets,UNKNOWN,Unknown,-1,-1,-1,0,0
Zolmitriptan 2.5mg orodispersible tablets sugar free,zolmitriptan,2,Zolmitriptan 2.5mg tablets|Zolmitriptan 2.5mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Cyclizine 50mg/1ml solution for injection ampoules,cyclizine,1,Cyclizine 50mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Ivabradine 2.5mg tablets,ivabradine,3,Ivabradine 7.5mg tablets|Ivabradine 5mg tablets|Ivabradine 5mg tablets,1,Ivabradine 7.5mg tablets,UNKNOWN,Unknown,-1,-1,-1,0,0
Midazolam 10mg/2ml solution for injection ampoules,midazolam,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Diclofenac sodium 50mg gastro-resistant tablets,diclofenac,1,Diclofenac sodium 25mg gastro-resistant tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Methenamine hippurate 1g tablets,methenamine,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Fexofenadine 180mg tablets,fexofenadine,1,Fexofenadine 120mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Co-careldopa 25mg/100mg tablets,co-careldopa,1,Co-careldopa 12.5mg/50mg tablets,1,Co-careldopa 12.5mg/50mg tablets,UNKNOWN,Unknown,-1,-1,-1,0,0
Co-careldopa 12.5mg/50mg tablets,co-careldopa,1,Co-careldopa 25mg/100mg tablets,1,Co-careldopa 25mg/100mg tablets,UNKNOWN,Unknown,-1,-1,-1,0,0
Dexamethasone 500microgram tablets,dexamethasone,1,Dexamethasone 2mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Timolol 0.5% eye drops,timolol,11,Bimatoprost 300micrograms/ml / Timolol 5mg/ml eye drops 0.4ml unit dose preservative free|Dorzolamide 20mg/ml / Timolol 5mg/ml eye drops|Bimatoprost 300micrograms/ml / Timolol 5mg/ml eye drops|Timolol 0.25% eye drops|Latanoprost 50micrograms/ml / Timolol 5mg/ml eye drops,2,Bimatoprost 300micrograms/ml / Timolol 5mg/ml eye drops 0.4ml unit dose preservative free|Timolol 0.25% eye drops,UNKNOWN,Unknown,-1,-1,-1,0,0
Promethazine hydrochloride 25mg tablets,promethazine,1,Promethazine hydrochloride 10mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Estradiol 10microgram pessaries,estradiol,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Carbocisteine 250mg/5ml oral solution,carbocisteine,1,Carbocisteine 375mg capsules,1,Carbocisteine 375mg capsules,UNKNOWN,Unknown,-1,-1,-1,0,0
Carbocisteine 375mg capsules,carbocisteine,1,Carbocisteine 250mg/5ml oral solution,1,Carbocisteine 250mg/5ml oral solution,UNKNOWN,Unknown,-1,-1,-1,0,0
Fenofibrate micronised 267mg capsules,fenofibrate,2,Fenofibrate micronised 160mg tablets|Fenofibrate micronised 200mg capsules,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Mercaptopurine 50mg tablets,mercaptopurine,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Sitagliptin 100mg tablets,sitagliptin,3,Sitagliptin 50mg tablets|Sitagliptin 25mg tablets|Sitagliptin 50mg / Metformin 1g tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Sitagliptin 50mg tablets,sitagliptin,3,Sitagliptin 100mg tablets|Sitagliptin 25mg tablets|Sitagliptin 50mg / Metformin 1g tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Imipramine 10mg tablets,imipramine,1,Imipramine 25mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Prucalopride 2mg tablets,prucalopride,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Duloxetine 30mg gastro-resistant capsules,duloxetine,5,Duloxetine 60mg gastro-resistant capsules|Duloxetine 20mg gastro-resistant capsules|Duloxetine 40mg gastro-resistant capsules|Duloxetine 20mg gastro-resistant capsules|Duloxetine 60mg gastro-resistant capsules,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Permethrin 5% cream,permethrin,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Nitrazepam 5mg tablets,nitrazepam,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Piroxicam 0.5% gel,piroxicam,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Fluoxetine 40mg capsules,fluoxetine,5,Fluoxetine 20mg/5ml oral solution|Fluoxetine 60mg capsules|Fluoxetine 20mg capsules|Fluoxetine 10mg capsules|Fluoxetine 10mg capsules,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Mycophenolate mofetil 500mg tablets,mycophenolate,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Piroxicam 0.5% gel,piroxicam,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Buprenorphine 8mg sublingual tablets sugar free,buprenorphine,1,Buprenorphine 2mg sublingual tablets sugar free,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Propylthiouracil 50mg tablets,propylthiouracil,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free,clavulanic acid,3,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free|Co-amoxiclav 250mg/125mg tablets|Co-amoxiclav 500mg/125mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Montelukast 5mg chewable tablets sugar free,montelukast,3,Montelukast 4mg granules sachets sugar free|Montelukast 4mg chewable tablets sugar free|Montelukast 10mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Fenofibrate micronised 160mg tablets,fenofibrate,2,Fenofibrate micronised 267mg capsules|Fenofibrate micronised 200mg capsules,1,Fenofibrate micronised 267mg capsules,UNKNOWN,Unknown,-1,-1,-1,0,0
Duloxetine 60mg gastro-resistant capsules,duloxetine,4,Duloxetine 30mg gastro-resistant capsules|Duloxetine 20mg gastro-resistant capsules|Duloxetine 40mg gastro-resistant capsules|Duloxetine 20mg gastro-resistant capsules,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Venlafaxine 225mg modified-release capsules,venlafaxine,5,Venlafaxine 75mg tablets|Venlafaxine 75mg modified-release capsules|Venlafaxine 37.5mg modified-release capsules|Venlafaxine 150mg modified-release tablets|Venlafaxine 37.5mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Ropinirole 1mg tablets,ropinirole,4,Ropinirole 2mg tablets|Ropinirole 250microgram tablets|Ropinirole 500microgram tablets|Ropinirole 500microgram tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Folic acid 5mg tablets,folic acid,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Levothyroxine sodium 12.5microgram tablets,levothyroxine,4,Levothyroxine sodium 75microgram tablets|Levothyroxine sodium 25microgram tablets|Levothyroxine sodium 50microgram tablets|Levothyroxine sodium 100microgram tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Pregabalin 300mg capsules,pregabalin,7,Pregabalin 50mg capsules|Pregabalin 200mg capsules|Pregabalin 150mg capsules|Pregabalin 25mg capsules|Pregabalin 225mg capsules,0,,MEDIUM,India,5,75,1,0,0
Modafinil 100mg tablets,modafinil,1,Modafinil 200mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Sitagliptin 25mg tablets,sitagliptin,3,Sitagliptin 100mg tablets|Sitagliptin 50mg tablets|Sitagliptin 50mg / Metformin 1g tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Erythromycin 250mg gastro-resistant tablets,erythromycin,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Mometasone 0.1% ointment,mometasone,3,Mometasone 0.1% cream|Mometasone 0.1% cream|Mometasone 50micrograms/dose nasal spray,2,Mometasone 0.1% cream|Mometasone 0.1% cream,UNKNOWN,Unknown,-1,-1,-1,0,0
Mometasone 0.1% ointment,mometasone,3,Mometasone 0.1% cream|Mometasone 0.1% cream|Mometasone 50micrograms/dose nasal spray,2,Mometasone 0.1% cream|Mometasone 0.1% cream,UNKNOWN,Unknown,-1,-1,-1,0,0
Co-codamol 30mg/500mg effervescent tablets,paracetamol,19,Co-codamol 30mg/500mg tablets|Co-codamol 30mg/500mg tablets|Paracetamol 500mg effervescent tablets|Paracetamol 250mg/5ml oral suspension sugar free|Paracetamol 250mg/5ml oral suspension,3,Co-codamol 30mg/500mg tablets|Co-codamol 30mg/500mg tablets|Paracetamol 500mg effervescent tablets,LOW,Europe,12,30,0,0,0
Co-codamol 30mg/500mg effervescent tablets,paracetamol,19,Co-codamol 30mg/500mg tablets|Co-codamol 30mg/500mg tablets|Paracetamol 500mg effervescent tablets|Paracetamol 250mg/5ml oral suspension sugar free|Paracetamol 250mg/5ml oral suspension,3,Co-codamol 30mg/500mg tablets|Co-codamol 30mg/500mg tablets|Paracetamol 500mg effervescent tablets,LOW,Europe,12,30,0,0,0
Memantine 10mg/ml oral solution sugar free,memantine,3,Memantine 20mg tablets|Memantine 10mg tablets|Memantine 20mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Duloxetine 20mg gastro-resistant capsules,duloxetine,4,Duloxetine 30mg gastro-resistant capsules|Duloxetine 60mg gastro-resistant capsules|Duloxetine 40mg gastro-resistant capsules|Duloxetine 60mg gastro-resistant capsules,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Pregabalin 50mg capsules,pregabalin,7,Pregabalin 300mg capsules|Pregabalin 200mg capsules|Pregabalin 150mg capsules|Pregabalin 25mg capsules|Pregabalin 225mg capsules,0,,MEDIUM,India,5,75,1,0,0
Desogestrel 75microgram tablets,desogestrel,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Amiloride 5mg tablets,amiloride,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Tacrolimus 0.1% ointment,tacrolimus,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Tacrolimus 0.1% ointment,tacrolimus,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Aqueous cream,aqueous,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Temazepam 10mg tablets,temazepam,1,Temazepam 20mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Isosorbide mononitrate 40mg tablets,isosorbide,2,Isosorbide mononitrate 20mg tablets|Isosorbide mononitrate 10mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Vardenafil 20mg tablets,vardenafil,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Methylphenidate 10mg tablets,methylphenidate,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Isosorbide mononitrate 20mg tablets,isosorbide,2,Isosorbide mononitrate 40mg tablets|Isosorbide mononitrate 10mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Nortriptyline 10mg tablets,nortriptyline,1,Nortriptyline 25mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Buprenorphine 2mg sublingual tablets sugar free,buprenorphine,1,Buprenorphine 8mg sublingual tablets sugar free,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Trospium chloride 20mg tablets,trospium,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Haloperidol 5mg tablets,haloperidol,1,Haloperidol 1.5mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Rizatriptan 10mg orodispersible tablets sugar free,rizatriptan,1,Rizatriptan 10mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Rizatriptan 10mg tablets,rizatriptan,2,Rizatriptan 10mg orodispersible tablets sugar free|Rizatriptan 10mg orodispersible tablets sugar free,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Gabapentin 600mg tablets,gabapentin,3,Gabapentin 300mg capsules|Gabapentin 100mg capsules|Gabapentin 400mg capsules,0,,MEDIUM,India,5,75,1,0,0
Fusidic acid 1% modified-release eye drops,fusidic,2,Fusidic acid 2% cream|Fusidic acid 2% cream,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Letrozole 2.5mg tablets,letrozole,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Nortriptyline 25mg tablets,nortriptyline,1,Nortriptyline 10mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Imipramine 25mg tablets,imipramine,1,Imipramine 10mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Clotrimazole 1% cream,clotrimazole,1,Clotrimazole 500mg pessaries,1,Clotrimazole 500mg pessaries,UNKNOWN,Unknown,-1,-1,-1,0,0
Morphine sulfate 10mg/1ml solution for injection ampoules,morphine,2,Morphine sulfate 10mg/5ml oral solution|Diamorphine 30mg powder for solution for injection ampoules,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Pioglitazone 45mg tablets,pioglitazone,2,Pioglitazone 30mg tablets|Pioglitazone 15mg tablets,1,Pioglitazone 30mg tablets,UNKNOWN,Unknown,-1,-1,-1,0,0
Isosorbide mononitrate 10mg tablets,isosorbide,2,Isosorbide mononitrate 40mg tablets|Isosorbide mononitrate 20mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Ferrous gluconate 300mg tablets,ferrous,1,Ferrous sulfate 200mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Trimethoprim 200mg tablets,trimethoprim,2,Trimethoprim 100mg tablets|Trimethoprim 50mg/5ml oral suspension sugar free,2,Trimethoprim 100mg tablets|Trimethoprim 50mg/5ml oral suspension sugar free,UNKNOWN,Unknown,-1,-1,-1,0,0
Trimethoprim 200mg tablets,trimethoprim,2,Trimethoprim 100mg tablets|Trimethoprim 50mg/5ml oral suspension sugar free,2,Trimethoprim 100mg tablets|Trimethoprim 50mg/5ml oral suspension sugar free,UNKNOWN,Unknown,-1,-1,-1,0,0
Cefalexin 500mg tablets,cefalexin,3,Cefalexin 500mg capsules|Cefalexin 250mg tablets|Cefalexin 250mg capsules,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Exemestane 25mg tablets,exemestane,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Acetazolamide 250mg tablets,acetazolamide,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Pioglitazone 30mg tablets,pioglitazone,2,Pioglitazone 45mg tablets|Pioglitazone 15mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Tadalafil 5mg tablets,tadalafil,2,Tadalafil 10mg tablets|Tadalafil 20mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Ivabradine 7.5mg tablets,ivabradine,3,Ivabradine 2.5mg tablets|Ivabradine 5mg tablets|Ivabradine 5mg tablets,1,Ivabradine 2.5mg tablets,UNKNOWN,Unknown,-1,-1,-1,0,0
