month,drug,concession_price
2026-02,Hydroxychloroquine 200mg tablets,2.75
2026-02,Ibandronic acid 150mg tablets,18.4
2026-02,Ibandronic acid 50mg tablets,40.87
2026-02,Irbesartan 150mg tablets,3.85
2026-02,Irbesartan 300mg tablets,1.78
2026-02,Irbesartan 75mg tablets,2.31
2026-02,Itraconazole 100mg capsules,5.02
2026-02,Ivabradine 2.5mg tablets,49.75
2026-02,Labetalol 100mg tablets,4.2
2026-02,Lactulose 3.1-3.7g/5ml oral solution,6.0
2026-02,Lamotrigine 100mg tablets,2.5
2026-02,Lamotrigine 200mg tablets,4.06
2026-02,Lamotrigine 25mg tablets,2.1
2026-02,Lamotrigine 50mg tablets,1.92
2026-02,Lansoprazole 30mg orodispersible tablets,3.06
2026-02,Leflunomide 10mg tablets,6.96
2026-02,Leflunomide 20mg tablets,3.16
2026-02,Lercanidipine 10mg tablets,2.15
2026-02,Lercanidipine 20mg tablets,3.89
2026-02,Levetiracetam 100mg/ml oral solution sugar free,3.2
2026-02,Lofepramine 70mg tablets,24.86
2026-02,Lymecycline 408mg capsules,3.45
2026-02,Lymecycline 408mg capsules,6.9
2026-02,Mebeverine 135mg tablets,2.38
2026-02,Mefenamic acid 500mg tablets,21.56
2026-02,Melatonin 2mg modified-release tablets,2.32
2026-02,Methenamine hippurate 1g tablets,19.57
2026-02,Methylphenidate 20mg tablets,6.49
2026-02,Midazolam 10mg/2ml solution for injection ampoules,4.7
2026-02,Mirtazapine 15mg tablets,0.97
2026-02,Mirtazapine 30mg tablets,0.95
2026-02,Mirtazapine 45mg tablets,1.17
2026-02,Mometasone 0.1% cream,12.18
2026-02,Mometasone 0.1% cream,3.99
2026-02,Morphine sulfate 10mg/1ml solution for injection ampoules,6.86
2026-02,Naftidrofuryl 100mg capsules,10.58
2026-02,Nefopam 30mg tablets,4.61
2026-02,Nizatidine 150mg capsules,61.11
2026-02,Oxazepam 10mg tablets,7.2
2026-02,Oxazepam 15mg tablets,7.05
2026-02,Oxybutynin 2.5mg tablets,2.52
2026-02,Oxybutynin 5mg tablets,3.94
2026-02,Oxycodone 5mg/5ml oral solution sugar free,7.49
2026-02,Oxytetracycline 250mg tablets,29.21
2026-02,Perindopril erbumine 2mg tablets,2.27
2026-02,Perindopril erbumine 4mg tablets,3.74
2026-02,Perindopril erbumine 8mg tablets,3.37
2026-02,Piroxicam 0.5% gel,2.64
2026-02,Piroxicam 0.5% gel,1.41
2026-02,Pizotifen 1.5mg tablets,1.61
2026-02,Pramipexole 88microgram tablets,3.05
2026-02,Prochlorperazine 3mg buccal tablets,12.95
2026-02,Promethazine hydrochloride 25mg tablets,1.85
2026-02,Propranolol 160mg modified-release capsules,5.5
2026-02,Propranolol 40mg tablets,1.7
2026-02,Propranolol 80mg modified-release capsules,15.0
2026-02,Propranolol 80mg tablets,3.07
2026-02,Pyridostigmine bromide 60mg tablets,14.0
2026-02,Pyridoxine 10mg tablets,18.0
2026-02,Quinine sulfate 300mg tablets,2.01
2026-02,Rabeprazole 10mg gastro-resistant tablets,1.21
2026-02,Rabeprazole 20mg gastro-resistant tablets,1.52
2026-02,Ramipril 1.25mg capsules,0.94
2026-02,Ramipril 10mg capsules,1.08
2026-02,Ramipril 10mg tablets,0.82
2026-02,Ramipril 2.5mg capsules,0.99
2026-02,Ramipril 2.5mg tablets,0.82
2026-02,Ramipril 5mg capsules,0.96
2026-02,Ramipril 5mg tablets,0.84
2026-02,Ranolazine 750mg modified-release tablets,8.0
2026-02,Repaglinide 1mg tablets,30.89
2026-02,Repaglinide 2mg tablets,20.2
2026-02,Repaglinide 500microgram tablets,25.36
2026-02,Risperidone 500microgram tablets,2.06
2026-02,Rosuvastatin 10mg tablets,2.94
2026-02,Rosuvastatin 20mg tablets,3.17
2026-02,Rosuvastatin 40mg tablets,1.99
2026-02,Rosuvastatin 5mg tablets,1.9
2026-02,Sertraline 50mg tablets,0.81
2026-02,Sitagliptin 100mg tablets,2.45
2026-02,Sitagliptin 100mg/5ml oral solution sugar free,20.3
2026-02,Sodium bicarbonate 500mg capsules,6.0
2026-02,Sotalol 40mg tablets,2.6
2026-02,Sotalol 80mg tablets,4.94
2026-02,Sulfasalazine 500mg tablets,6.61
2026-02,Sulpiride 200mg tablets,5.71
2026-02,Temazepam 10mg tablets,24.19
2026-02,Thiamine 100mg tablets,2.6
2026-02,Tibolone 2.5mg tablets,4.3
2026-02,Timolol 0.25% eye drops,2.51
2026-02,Timolol 0.5% eye drops,2.41
2026-02,Tolterodine 1mg tablets,12.2
2026-02,Tolterodine 2mg tablets,12.2
2026-02,Tolterodine 4mg modified-release capsules,23.43
2026-02,Topiramate 100mg tablets,1.95
2026-02,Tramadol 50mg capsules,0.78
2026-02,Tramadol 50mg capsules,2.59
2026-02,Trihexyphenidyl 2mg tablets,123.63
2026-02,Trimethoprim 100mg tablets,4.07
2026-02,Trimethoprim 50mg/5ml oral suspension sugar free,9.36
2026-02,Valaciclovir 500mg tablets,14.28
2026-02,Valsartan 80mg capsules,6.46
2026-02,Venlafaxine 150mg modified-release tablets,6.32
2026-02,Venlafaxine 37.5mg tablets,2.6
2026-02,Zolmitriptan 2.5mg orodispersible tablets sugar free,3.97
2026-01,Alfuzosin 2.5mg tablets,6.54
2026-01,Amiodarone 100mg tablets,5.04
2026-01,Amiodarone 200mg tablets,9.59
2026-01,Amisulpride 200mg tablets,10.13
2026-01,Amlodipine 2.5mg tablets,3.58
2026-01,Amoxicillin 250mg/5ml oral suspension,1.44
2026-01,Aripiprazole 2.5mg tablets,29.69
2026-01,Ascorbic acid 200mg tablets,47.05
2026-01,Aspirin 75mg dispersible tablets,3.05
2026-01,Aspirin 75mg dispersible tablets,10.89
2026-01,Aspirin 75mg gastro-resistant tablets,1.0
2026-01,Aspirin 75mg tablets,2.95
2026-01,Benzydamine 0.15% mouthwash sugar free,3.17
2026-01,Betamethasone 500microgram soluble tablets sugar free,47.89
2026-01,Bimatoprost 300micrograms/ml / Timolol 5mg/ml eye drops 0.4ml unit dose preservative free,9.5
2026-01,Captopril 12.5mg tablets,27.95
2026-01,Captopril 25mg tablets,25.95
2026-01,Captopril 50mg tablets,26.95
2026-01,Carbocisteine 375mg capsules,5.0
2026-01,Carvedilol 6.25mg tablets,1.2
2026-01,Chloramphenicol 0.5% eye drops,2.75
2026-01,Chlordiazepoxide 10mg capsules,32.01
2026-01,Cimetidine 400mg tablets,5.58
2026-01,Ciprofloxacin 500mg tablets,5.2
2026-01,Citalopram 20mg tablets,0.92
2026-01,Clarithromycin 125mg/5ml oral suspension,11.82
2026-01,Clarithromycin 250mg/5ml oral suspension,26.48
2026-01,Clobazam 10mg tablets,2.3
2026-01,Clomipramine 50mg capsules,6.89
2026-01,Clotrimazole 1% cream,3.21
2026-01,Clotrimazole 500mg pessaries,5.04
2026-01,Co-amilofruse 5mg/40mg tablets,3.72
2026-01,Co-careldopa 12.5mg/50mg tablets,6.18
2026-01,Co-careldopa 25mg/100mg tablets,7.51
2026-01,Co-codamol 30mg/500mg capsules,5.68
2026-01,Co-codamol 30mg/500mg tablets,1.4
2026-01,Co-codamol 30mg/500mg tablets,4.65
2026-01,Co-codamol 8mg/500mg capsules,26.78
2026-01,Co-codamol 8mg/500mg capsules,8.57
2026-01,Codeine 15mg/5ml linctus sugar free,17.34
2026-01,"Colecalciferol 1,000unit capsules",5.92
2026-01,Cyclizine 50mg/1ml solution for injection ampoules,3.59
2026-01,Dexamethasone 500microgram tablets,1.75
2026-01,Diclofenac sodium 50mg gastro-resistant tablets,6.86
2026-01,Dipyridamole 200mg modified-release capsules,40.13
2026-01,Docusate 50mg/5ml oral solution sugar free,15.59
2026-01,Duloxetine 60mg gastro-resistant capsules,1.6
2026-01,Enalapril 2.5mg tablets,4.16
2026-01,Estradiol 10microgram pessaries,10.57
2026-01,Estriol 0.01% vaginal cream with applicator,41.85
2026-01,Famotidine 20mg tablets,2.72
2026-01,Fenofibrate micronised 267mg capsules,17.3
2026-01,Fexofenadine 180mg tablets,3.75
2026-01,Fusidic acid 1% modified-release eye drops,35.0
2026-01,Glycerol 4g suppositories,1.95
2026-01,Haloperidol 1.5mg tablets,4.21
2026-01,Hydrocortisone 5mg tablets,19.78
2026-01,Hydroxocobalamin 1mg/1ml solution for injection ampoules,9.77
2026-01,Hydroxychloroquine 200mg tablets,2.05
2026-01,Ibandronic acid 150mg tablets,18.4
2026-01,Ibandronic acid 50mg tablets,31.44
2026-01,Indapamide 1.5mg modified-release tablets,1.4
2026-01,Irbesartan 150mg tablets,4.1
2026-01,Irbesartan 75mg tablets,1.1
2026-01,Itraconazole 100mg capsules,4.86
2026-01,Ivabradine 2.5mg tablets,48.05
2026-01,Labetalol 100mg tablets,4.09
2026-01,Lactulose 3.1-3.7g/5ml oral solution,6.62
2026-01,Lansoprazole 30mg orodispersible tablets,3.2
2026-01,Levetiracetam 100mg/ml oral solution sugar free,3.8
2026-01,Lofepramine 70mg tablets,22.93
2026-01,Lymecycline 408mg capsules,3.45
2026-01,Lymecycline 408mg capsules,6.9
2026-01,Mebeverine 135mg tablets,2.65
2026-01,Mefenamic acid 500mg tablets,29.75
2026-01,Melatonin 2mg modified-release tablets,2.48
2026-01,Memantine 10mg/ml oral solution sugar free,9.15
2026-01,Methenamine hippurate 1g tablets,19.57
2026-01,Methylphenidate 20mg tablets,6.69
2026-01,Midazolam 10mg/2ml solution for injection ampoules,4.68
2026-01,Mometasone 0.1% cream,11.06
2026-01,Mometasone 0.1% cream,3.5
2026-01,Morphine sulfate 10mg/1ml solution for injection ampoules,7.22
2026-01,Naftidrofuryl 100mg capsules,10.5
2026-01,Naproxen 250mg tablets,0.79
2026-01,Nefopam 30mg tablets,7.22
2026-01,Nifedipine 5mg capsules,43.99
2026-01,Nizatidine 150mg capsules,65.35
2026-01,Olanzapine 10mg tablets,2.32
2026-01,Oxazepam 10mg tablets,4.37
2026-01,Oxazepam 15mg tablets,6.54
2026-01,Oxybutynin 2.5mg tablets,2.52
2026-01,Oxybutynin 5mg tablets,3.85
2026-01,Oxycodone 5mg/5ml oral solution sugar free,6.42
2026-01,Oxytetracycline 250mg tablets,28.19
2026-01,Piroxicam 0.5% gel,2.6
2026-01,Piroxicam 0.5% gel,1.39
2026-01,Pizotifen 1.5mg tablets,1.29
2026-01,Prochlorperazine 3mg buccal tablets,12.95
2026-01,Promethazine hydrochloride 25mg tablets,1.85
2026-01,Propranolol 160mg modified-release capsules,5.9
2026-01,Propranolol 40mg tablets,1.15
2026-01,Propranolol 80mg modified-release capsules,24.4
2026-01,Propranolol 80mg tablets,3.88
2026-01,Pyridostigmine bromide 60mg tablets,14.0
2026-01,Pyridoxine 10mg tablets,18.0
2026-01,Rabeprazole 10mg gastro-resistant tablets,1.0
2026-01,Rabeprazole 20mg gastro-resistant tablets,1.52
2026-01,Ramipril 1.25mg capsules,1.19
2026-01,Ramipril 10mg capsules,1.1
2026-01,Ramipril 10mg tablets,0.83
2026-01,Ramipril 2.5mg capsules,1.1
2026-01,Ramipril 5mg capsules,1.08
2026-01,Ramipril 5mg tablets,0.84
2026-01,Repaglinide 500microgram tablets,25.36
2026-01,Risperidone 500microgram tablets,2.52
2026-01,Rosuvastatin 10mg tablets,4.84
2026-01,Rosuvastatin 20mg tablets,1.4
2026-01,Rosuvastatin 40mg tablets,1.26
2026-01,Rosuvastatin 5mg tablets,1.45
2026-01,Sitagliptin 100mg tablets,2.45
2026-01,Sitagliptin 100mg/5ml oral solution sugar free,19.85
2026-01,Sodium bicarbonate 500mg capsules,5.6
2026-01,Sodium valproate 200mg/5ml oral solution sugar free,14.66
2026-01,Solifenacin 10mg tablets,1.22
2026-01,Solifenacin 5mg tablets,1.15
2026-01,Sotalol 40mg tablets,0.96
2026-01,Sotalol 80mg tablets,4.95
2026-01,Sulfasalazine 500mg tablets,6.53
2026-01,Sulpiride 200mg tablets,6.01
2026-01,Thiamine 100mg tablets,2.59
2026-01,Tibolone 2.5mg tablets,4.5
2026-01,Timolol 0.25% eye drops,2.85
2026-01,Timolol 0.5% eye drops,2.66
2026-01,Tolterodine 1mg tablets,11.85
2026-01,Tolterodine 2mg tablets,12.88
2026-01,Tolterodine 4mg modified-release capsules,25.7
2026-01,Topiramate 100mg tablets,1.93
2026-01,Trihexyphenidyl 2mg tablets,125.25
2026-01,Trimethoprim 100mg tablets,4.08
2026-01,Trimethoprim 50mg/5ml oral suspension sugar free,10.27
2026-01,Valaciclovir 500mg tablets,14.71
2026-01,Valsartan 160mg / Hydrochlorothiazide 25mg tablets,22.79
2026-01,Valsartan 80mg capsules,7.0
2026-01,Venlafaxine 150mg modified-release tablets,6.32
2026-01,Zolmitriptan 2.5mg orodispersible tablets sugar free,4.38
2025-12,Alfuzosin 2.5mg tablets,7.21
2025-12,Amiodarone 100mg tablets,5.04
2025-12,Amiodarone 200mg tablets,10.07
2025-12,Amoxicillin 250mg/5ml oral suspension,1.77
2025-12,Aripiprazole 2.5mg tablets,30.59
2025-12,Aspirin 75mg dispersible tablets,0.88
2025-12,Aspirin 75mg dispersible tablets,3.14
2025-12,Betamethasone 500microgram soluble tablets sugar free,45.91
2025-12,Bimatoprost 300micrograms/ml / Timolol 5mg/ml eye drops 0.4ml unit dose preservative free,9.9
2025-12,Bumetanide 1mg tablets,2.51
2025-12,Carbocisteine 250mg/5ml oral solution,4.25
2025-12,Carbocisteine 375mg capsules,5.29
2025-12,Cefalexin 125mg/5ml oral suspension sugar free,4.64
2025-12,Cefalexin 250mg/5ml oral suspension sugar free,6.05
2025-12,Cefalexin 500mg tablets,2.54
2025-12,Cimetidine 400mg tablets,5.38
2025-12,Cinacalcet 30mg tablets,4.57
2025-12,Ciprofloxacin 500mg tablets,5.72
2025-12,Citalopram 10mg tablets,0.69
2025-12,Citalopram 20mg tablets,1.43
2025-12,Clarithromycin 125mg/5ml oral suspension,11.87
2025-12,Clarithromycin 250mg/5ml oral suspension,25.42
2025-12,Clotrimazole 1% cream,3.75
2025-12,Clotrimazole 500mg pessaries,5.07
2025-12,Co-careldopa 12.5mg/50mg tablets,5.65
2025-12,Co-careldopa 25mg/100mg tablets,7.68
2025-12,Co-codamol 30mg/500mg tablets,1.4
2025-12,Co-codamol 30mg/500mg tablets,4.65
2025-12,Co-codamol 8mg/500mg capsules,24.83
2025-12,Co-codamol 8mg/500mg capsules,7.95
2025-12,Cyclizine 50mg/1ml solution for injection ampoules,3.56
2025-12,Dexamethasone 500microgram tablets,1.96
2025-12,Diclofenac sodium 50mg gastro-resistant tablets,1.11
2025-12,Dutasteride 500microgram capsules,2.46
2025-12,Esomeprazole 20mg gastro-resistant capsules,2.35
2025-12,Esomeprazole 40mg gastro-resistant capsules,2.3
2025-12,Estradiol 10microgram pessaries,11.0
2025-12,Estriol 0.01% vaginal cream with applicator,47.05
2025-12,Famotidine 20mg tablets,2.5
2025-12,Febuxostat 80mg tablets,3.23
2025-12,Fenofibrate micronised 267mg capsules,17.01
2025-12,Fenofibrate micronised 67mg capsules,8.78
2025-12,Fexofenadine 180mg tablets,3.05
2025-12,Fluticasone 400microgram/unit dose nasal drops,23.68
2025-12,Hydroxocobalamin 1mg/1ml solution for injection ampoules,10.53
2025-12,Ibandronic acid 150mg tablets,18.4
2025-12,Ibandronic acid 50mg tablets,23.95
2025-12,Ibuprofen 600mg tablets,4.73
2025-12,Indapamide 2.5mg tablets,3.05
2025-12,Irbesartan 150mg tablets,1.68
2025-12,Itraconazole 100mg capsules,5.35
2025-12,Ivabradine 2.5mg tablets,43.72
2025-12,Ivabradine 7.5mg tablets,2.93
2025-12,Lactulose 3.1-3.7g/5ml oral solution,7.01
2025-12,Lansoprazole 30mg orodispersible tablets,3.8
2025-12,Latanoprost 50micrograms/ml eye drops,1.71
2025-12,Lofepramine 70mg tablets,22.69
2025-12,Mefenamic acid 500mg tablets,31.95
2025-12,Mercaptopurine 50mg tablets,7.67
2025-12,Methenamine hippurate 1g tablets,19.73
2025-12,Midazolam 10mg/2ml solution for injection ampoules,5.63
2025-12,Mometasone 0.1% cream,11.96
2025-12,Mometasone 0.1% cream,3.75
2025-12,Naftidrofuryl 100mg capsules,9.97
2025-12,Nefopam 30mg tablets,9.44
2025-12,Nizatidine 150mg capsules,65.48
2025-12,Olanzapine 10mg orodispersible tablets sugar free,4.19
2025-12,Olanzapine 10mg tablets,1.96
2025-12,Olanzapine 15mg tablets,1.9
2025-12,Olanzapine 2.5mg tablets,1.02
2025-12,Olanzapine 20mg orodispersible tablets sugar free,6.32
2025-12,Olanzapine 20mg tablets,2.15
2025-12,Olanzapine 5mg tablets,1.09
2025-12,Olanzapine 7.5mg tablets,2.1
2025-12,Oxazepam 10mg tablets,4.7
2025-12,Oxazepam 15mg tablets,7.25
2025-12,Oxybutynin 2.5mg tablets,2.13
2025-12,Oxybutynin 5mg tablets,3.9
2025-12,Oxycodone 5mg/5ml oral solution sugar free,7.31
2025-12,Oxytetracycline 250mg tablets,25.19
2025-12,Paracetamol 500mg effervescent tablets,5.65
2025-12,Phenoxymethylpenicillin 250mg tablets,1.13
2025-12,Pioglitazone 30mg tablets,3.01
2025-12,Pramipexole 88microgram tablets,2.89
2025-12,Procyclidine 5mg tablets,1.27
2025-12,Progesterone micronised 100mg capsules,2.94
2025-12,Promethazine hydrochloride 25mg tablets,2.21
2025-12,Propranolol 160mg modified-release capsules,5.9
2025-12,Propranolol 40mg tablets,1.61
2025-12,Propranolol 80mg modified-release capsules,5.1
2025-12,Propranolol 80mg tablets,1.93
2025-12,Pyridostigmine bromide 60mg tablets,15.79
2025-12,Repaglinide 1mg tablets,31.73
2025-12,Risperidone 500microgram tablets,2.94
2025-12,Sitagliptin 100mg/5ml oral solution sugar free,19.85
2025-12,Sodium bicarbonate 500mg capsules,5.92
2025-12,Sotalol 40mg tablets,1.2
2025-12,Sotalol 80mg tablets,1.52
2025-12,Sulfasalazine 500mg tablets,5.95
2025-12,Sulpiride 200mg tablets,5.87
2025-12,Sulpiride 400mg tablets,15.5
2025-12,Terbinafine 250mg tablets,1.46
2025-12,Tibolone 2.5mg tablets,3.03
2025-12,Timolol 0.25% eye drops,2.95
2025-12,Timolol 0.5% eye drops,2.66
2025-12,Tolterodine 1mg tablets,11.85
2025-12,Tolterodine 2mg tablets,4.09
2025-12,Tolterodine 4mg modified-release capsules,25.78
2025-12,Trihexyphenidyl 2mg tablets,130.89
2025-12,Trihexyphenidyl 5mg tablets,137.44
2025-12,Trimethoprim 100mg tablets,4.29
2025-12,Trimethoprim 50mg/5ml oral suspension sugar free,16.13
2025-12,Valaciclovir 500mg tablets,14.72
2025-12,Zolmitriptan 2.5mg orodispersible tablets sugar free,6.95
2025-11,Alfuzosin 2.5mg tablets,6.8
2025-11,Amiodarone 100mg tablets,4.3
2025-11,Amiodarone 200mg tablets,5.99
2025-11,Aripiprazole 2.5mg tablets,31.14
2025-11,Betamethasone 500microgram soluble tablets sugar free,46.65
2025-11,Bimatoprost 300micrograms/ml / Timolol 5mg/ml eye drops 0.4ml unit dose preservative free,9.9
2025-11,Bumetanide 1mg tablets,2.56
2025-11,Carbocisteine 250mg/5ml oral solution,4.25
2025-11,Carbocisteine 375mg capsules,2.95
2025-11,Ciprofloxacin 500mg tablets,6.72
2025-11,Clarithromycin 125mg/5ml oral suspension,10.19
2025-11,Clarithromycin 250mg/5ml oral suspension,17.8
2025-11,Clonidine 150micrograms/1ml solution for injection ampoules,4.18
2025-11,Clotrimazole 500mg pessaries,5.34
2025-11,Co-careldopa 12.5mg/50mg tablets,5.97
2025-11,Co-careldopa 25mg/100mg tablets,8.26
2025-11,Co-codamol 30mg/500mg tablets,1.35
2025-11,Co-codamol 30mg/500mg tablets,4.49
2025-11,Co-codamol 8mg/500mg capsules,23.6
2025-11,Co-codamol 8mg/500mg capsules,7.55
2025-11,Cyclizine 50mg/1ml solution for injection ampoules,3.8
2025-11,Dexamethasone 500microgram tablets,1.87
2025-11,Diclofenac sodium 50mg gastro-resistant tablets,1.12
2025-11,Dutasteride 500microgram capsules,2.42
2025-11,Esomeprazole 20mg gastro-resistant capsules,2.4
2025-11,Esomeprazole 40mg gastro-resistant capsules,3.17
2025-11,Estradiol 10microgram pessaries,10.8
2025-11,Estriol 0.01% vaginal cream with applicator,47.05
2025-11,Febuxostat 80mg tablets,4.09
2025-11,Fenofibrate micronised 267mg capsules,8.31
2025-11,Fenofibrate micronised 67mg capsules,8.69
2025-11,Fexofenadine 180mg tablets,3.89
2025-11,Fluticasone 400microgram/unit dose nasal drops,26.9
2025-11,Hydrocortisone sodium succinate 100mg powder and solvent for solution for injection vials,2.61
2025-11,Hydrocortisone sodium succinate 100mg powder for solution for injection vials,17.18
2025-11,Hydroxocobalamin 1mg/1ml solution for injection ampoules,10.59
2025-11,Ibandronic acid 150mg tablets,18.4
2025-11,Ibandronic acid 50mg tablets,23.96
2025-11,Ibuprofen 600mg tablets,5.18
2025-11,Indapamide 2.5mg tablets,4.27
2025-11,Irbesartan 150mg tablets,1.63
2025-11,Itraconazole 100mg capsules,6.38
2025-11,Ivabradine 2.5mg tablets,45.43
2025-11,Lactulose 3.1-3.7g/5ml oral solution,6.3
2025-11,Lansoprazole 30mg orodispersible tablets,3.63
2025-11,Latanoprost 50micrograms/ml eye drops,1.83
2025-11,Lofepramine 70mg tablets,24.35
2025-11,Mefenamic acid 500mg tablets,28.01
2025-11,Mercaptopurine 50mg tablets,7.57
2025-11,Methenamine hippurate 1g tablets,17.8
2025-11,Midazolam 10mg/2ml solution for injection ampoules,4.89
2025-11,Mometasone 0.1% cream,12.16
2025-11,Mometasone 0.1% cream,3.85
2025-11,Naftidrofuryl 100mg capsules,9.97
2025-11,Nefopam 30mg tablets,13.26
2025-11,Nizatidine 150mg capsules,45.18
2025-11,Olanzapine 10mg orodispersible tablets sugar free,4.18
2025-11,Olanzapine 10mg tablets,2.65
2025-11,Olanzapine 15mg tablets,2.48
2025-11,Olanzapine 2.5mg tablets,1.84
2025-11,Olanzapine 20mg orodispersible tablets sugar free,6.96
2025-11,Olanzapine 20mg tablets,3.19
2025-11,Olanzapine 5mg tablets,1.58
2025-11,Olanzapine 7.5mg tablets,2.33
2025-11,Oxybutynin 2.5mg tablets,2.42
2025-11,Oxybutynin 5mg tablets,3.9
2025-11,Oxycodone 5mg/5ml oral solution sugar free,7.56
2025-11,Oxytetracycline 250mg tablets,25.27
2025-11,Paracetamol 500mg effervescent tablets,5.8
2025-11,Phenelzine 15mg tablets,236.4
2025-11,Phenoxymethylpenicillin 250mg tablets,1.19
2025-11,Pramipexole 88microgram tablets,3.14
2025-11,Procyclidine 5mg tablets,1.26
2025-11,Progesterone micronised 100mg capsules,3.49
2025-11,Promethazine hydrochloride 25mg tablets,2.3
2025-11,Propranolol 40mg tablets,2.28
2025-11,Propranolol 80mg modified-release capsules,11.89
2025-11,Propranolol 80mg tablets,1.93
2025-11,Prucalopride 2mg tablets,8.46
2025-11,Pyridostigmine bromide 60mg tablets,15.79
2025-11,Repaglinide 1mg tablets,31.73
2025-11,Risperidone 500microgram tablets,3.27
2025-11,Sitagliptin 100mg tablets,2.71
2025-11,Sitagliptin 100mg/5ml oral solution sugar free,21.85
2025-11,Sitagliptin 50mg tablets,1.88
2025-11,Sodium bicarbonate 500mg capsules,6.28
2025-11,Sulfasalazine 500mg tablets,5.95
2025-11,Sulpiride 200mg tablets,6.29
2025-11,Sulpiride 400mg tablets,15.59
2025-11,Terbinafine 250mg tablets,1.53
2025-11,Timolol 0.5% eye drops,1.75
2025-11,Tolterodine 1mg tablets,1.55
2025-11,Tolterodine 2mg tablets,2.49
2025-11,Tolterodine 4mg modified-release capsules,25.78
2025-11,Trihexyphenidyl 2mg tablets,111.8
2025-11,Trihexyphenidyl 5mg tablets,124.0
2025-11,Trimethoprim 100mg tablets,4.3
2025-11,Trimethoprim 50mg/5ml oral suspension sugar free,16.13
2025-11,Valaciclovir 500mg tablets,15.59
2025-11,Zolmitriptan 2.5mg orodispersible tablets sugar free,7.06
